Variable,Unidades,Tiempo de exposicion (horas),Year,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Minimo,Dias de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estacion
RGlobal,Wm2,24,2020,319.8,113220.59,354,97.0,0,0.0,325.7,413.8,477.4,163.4,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,1,2020,24.2,211259.5,8740,99.0,0,0.0,23.5,31.0,33.8,16.0,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,24,2020,24.2,8799.44,364,99.0,0,0.0,24.2,26.7,27.1,20.6,0,VALLE DEL CAUCA,CALI,Fija
VViento,ms,1,2020,0.7,6364.8,8522,97.0,0,0.0,0.5,3.2,51.7,0.0,0,VALLE DEL CAUCA,CALI,Fija
VViento,ms,24,2020,0.7,262.73,354,97.0,0,0.0,0.7,1.2,1.3,0.3,0,VALLE DEL CAUCA,CALI,Fija
DViento,deg,1,2020,38.0,798255.32,8714,99.0,0,0.0,52.2,348.4,360.0,0.0,0,ATLANTICO,BARRANQUILLA,Fija
DViento,deg,24,2020,46.7,28658.3,363,99.0,0,0.0,50.6,342.5,358.9,2.5,0,ATLANTICO,BARRANQUILLA,Fija
HAire10,perc,1,2020,76.0,661324.51,8707,99.0,0,0.0,77.3,90.5,98.3,50.7,0,ATLANTICO,BARRANQUILLA,Fija
HAire10,perc,24,2020,76.0,27576.33,363,99.0,0,0.0,75.8,85.0,89.2,65.5,0,ATLANTICO,BARRANQUILLA,Fija
PLiquida,mm,24,2020,0.7,247.6,363,99.0,0,0.0,0.0,9.4,61.8,0.0,0,ATLANTICO,BARRANQUILLA,Fija
P,mmHg,1,2020,1005.6,8762577.67,8714,99.0,0,0.0,1005.6,1009.4,1012.6,926.4,0,ATLANTICO,BARRANQUILLA,Fija
P,mmHg,24,2020,1005.6,365024.25,363,99.0,0,0.0,1005.6,1008.3,1009.6,1000.0,0,ATLANTICO,BARRANQUILLA,Fija
RGlobal,Wm2,1,2020,208.9,1826992.28,8745,100.0,0,0.0,0.0,908.6,1067.6,0.0,0,ATLANTICO,BARRANQUILLA,Fija
RGlobal,Wm2,24,2020,209.5,76253.61,364,99.0,0,0.0,226.3,284.9,295.1,8.1,0,ATLANTICO,BARRANQUILLA,Fija
